Client Fund,Trade ID,Transaction Type,FX Type,Trade Date,Contractual Settlement Date,FX Buy/Sell,Broker Name,Exchange Rate,Amount Bought,Currency Bought,Amount Sold,Currency Sold,Base Currency Code,Base Current Value,Unrealized Gain/Loss,Days Past Due,Period End Date
HRTG,26AEKBB7SFP,KSELL,F,01/08/2026,02/26/2026,S,CANADIAN IMPERIAL BANK OF COMMERCE,0.619490,2053524.200000,CAD,1271000.000000,EUR,CAD,2051757.550000,1766.650000,0.000000,02/18/2026
HRTG,26AEKBB7SF4,KSELL,F,01/08/2026,02/26/2026,S,CANADIAN IMPERIAL BANK OF COMMERCE,0.564368,2021010.160000,CAD,1162000.000000,CHF,CAD,2059753.450000,-38743.290000,0.000000,02/18/2026
HRTG,26AEKBB7SGL,KSELL,F,01/08/2026,02/26/2026,S,CANADIAN IMPERIAL BANK OF COMMERCE,0.540766,1344078.690000,CAD,723000.000000,GBP,CAD,1336653.190000,7425.500000,0.000000,02/18/2026
HRTG,26AEKBB7PSS,KSELL,F,01/08/2026,02/26/2026,S,CANADIAN IMPERIAL BANK OF COMMERCE,0.925211,4688321.630000,CAD,4342000.000000,SGD,CAD,4693699.500000,-5377.870000,0.000000,02/18/2026
HRTG,26BHKBB5X5B,KSELL,F,02/11/2026,03/26/2026,S,CANADIAN IMPERIAL BANK OF COMMERCE,0.730007,22619490.180000,CAD,16715000.000000,USD,CAD,22863184.950000,-243694.770000,0.000000,02/18/2026
HRVM,26BCKBB6GV5,KSELL,F,02/04/2026,03/20/2026,S,BANQUE NATIONALE DU CANADA,0.730007,139907072.540000,CAD,102497000.000000,USD,CAD,140233969.260000,-326896.720000,0.000000,02/18/2026
HRVM,26AMKBB410J,KSELL,F,01/21/2026,02/19/2026,S,BANQUE NATIONALE DU CANADA,0.730007,93759040.080000,CAD,68020000.000000,USD,CAD,93177197.010000,581843.070000,0.000000,02/18/2026
HRVM,26BAKBCCBT3,KSELL,F,02/02/2026,02/19/2026,S,BANQUE NATIONALE DU CANADA,0.730007,20595882.670000,CAD,15070000.000000,USD,CAD,20643639.500000,-47756.830000,0.000000,02/18/2026
,,,,,,,,,,,,,CAD,,,,02/18/2026
,,,,,,,,,,,,,CAD,,,,02/18/2026
,,,,,,,,,,,,,CAD,,,,02/18/2026
,,,,,,,,,,,,,CAD,,,,02/18/2026
,,,,,,,,,,,,,CAD,,,,02/18/2026
,,,,,,,,,,,,,CAD,,,,02/18/2026
,,,,,,,,,,,,,CAD,,,,02/18/2026
,,,,,,,,,,,,,CAD,,,,02/18/2026
,,,,,,,,,,,,,CAD,,,,02/18/2026
,,,,,,,,,,,,,CAD,,,,02/18/2026
,,,,,,,,,,,,,CAD,,,,02/18/2026
,,,,,,,,,,,,,CAD,,,,02/18/2026
,,,,,,,,,,,,,CAD,,,,02/18/2026
,,,,,,,,,,,,,CAD,,,,02/18/2026
,,,,,,,,,,,,,CAD,,,,02/18/2026
,,,,,,,,,,,,,CAD,,,,02/18/2026
,,,,,,,,,,,,,CAD,,,,02/18/2026
,,,,,,,,,,,,,CAD,,,,02/18/2026
,,,,,,,,,,,,,CAD,,,,02/18/2026
,,,,,,,,,,,,,CAD,,,,02/18/2026
,,,,,,,,,,,,,CAD,,,,02/18/2026
,,,,,,,,,,,,,CAD,,,,02/18/2026
,,,,,,,,,,,,,CAD,,,,02/18/2026
,,,,,,,,,,,,,CAD,,,,02/18/2026
,,,,,,,,,,,,,CAD,,,,02/18/2026
,,,,,,,,,,,,,CAD,,,,02/18/2026
